"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_place_order_with_mocked_repo[order_i2hur2937r9-shipping_1!!!!]","tests","Mon Feb 23 11:19:20 UTC 2026","passed","Mon Feb 23 11:19:20 UTC 2026","","test_integration","",""
"","1","test_place_order_with_mocked_repo[341586f9-b800-4dd8-bfac-46cd50135bed-b7eb097d-b2a1-4ab3-9db2-efabb9d7e719]","tests","Mon Feb 23 11:19:20 UTC 2026","passed","Mon Feb 23 11:19:20 UTC 2026","","test_integration","",""
"","1","test_add_product","unit-tests","Mon Feb 23 11:19:21 UTC 2026","passed","Mon Feb 23 11:19:21 UTC 2026","","test_product","",""
"","1","test_place_order_with_mocked_repo[order_1-shipping_1]","tests","Mon Feb 23 11:19:20 UTC 2026","passed","Mon Feb 23 11:19:20 UTC 2026","","test_integration","",""
"","1","test_place_order_with_mocked_repo[8662354-123456]","tests","Mon Feb 23 11:19:20 UTC 2026","passed","Mon Feb 23 11:19:20 UTC 2026","","test_integration","",""
"","0","test_add_product_to_cart_successful","unit-tests","Mon Feb 23 11:19:21 UTC 2026","passed","Mon Feb 23 11:19:21 UTC 2026","","unit_test","",""
"","1","test_mock_add_product","unit-tests","Mon Feb 23 11:19:21 UTC 2026","passed","Mon Feb 23 11:19:21 UTC 2026","TestProduct","test_case","",""
"","0","test_add_product_to_cart_failed","unit-tests","Mon Feb 23 11:19:21 UTC 2026","passed","Mon Feb 23 11:19:21 UTC 2026","","unit_test","",""
"","13","test_place_order_with_unavailable_shipping_type_fails","tests","Mon Feb 23 11:19:20 UTC 2026","passed","Mon Feb 23 11:19:20 UTC 2026","","test_integration","",""
"","0","test_add_available_amount","unit-tests","Mon Feb 23 11:19:21 UTC 2026","passed","Mon Feb 23 11:19:21 UTC 2026","TestProduct","test_case","",""
"","0","test_add_non_available_amount","unit-tests","Mon Feb 23 11:19:21 UTC 2026","passed","Mon Feb 23 11:19:21 UTC 2026","TestProduct","test_case","",""
"","224","test_when_place_order_then_shipping_in_queue","tests","Mon Feb 23 11:19:20 UTC 2026","passed","Mon Feb 23 11:19:21 UTC 2026","","test_integration","",""
